test_view_idx,image_name,psnr_db,ssim,lpips_vgg
0,000001,25.187395095825195,0.878211498260498,0.1798323094844818
1,000009,25.21122169494629,0.8759520053863525,0.17738936841487885
2,000017,24.001972198486328,0.8425927758216858,0.17695271968841553
3,000025,24.63953971862793,0.8343527317047119,0.22927632927894592
4,000033,24.852718353271484,0.8421909809112549,0.2062518149614334
5,000041,25.356943130493164,0.8528702855110168,0.1955236792564392
6,000049,25.63736343383789,0.866609513759613,0.19652092456817627
7,000057,23.737743377685547,0.8252534866333008,0.2062332034111023
8,000065,22.9476375579834,0.8400505185127258,0.2218109667301178
9,000073,25.738998413085938,0.8919563293457031,0.2107143998146057
10,000081,24.538787841796875,0.8451722860336304,0.2467459738254547
11,000089,24.580533981323242,0.8683484196662903,0.1816035658121109
12,000097,24.12592315673828,0.8690750598907471,0.17739030718803406
13,000105,24.82937240600586,0.8742655515670776,0.18407373130321503
14,000113,23.825027465820312,0.842797577381134,0.1966395229101181
15,000121,22.718250274658203,0.8185921907424927,0.2275562733411789
16,000129,24.771141052246094,0.8448330760002136,0.2154700756072998
17,000137,23.61804962158203,0.8275104761123657,0.20489242672920227
18,000145,25.0125675201416,0.8085997104644775,0.22226764261722565
19,000153,22.655406951904297,0.8334150314331055,0.24973273277282715
20,000161,25.2041015625,0.8595243096351624,0.26376694440841675
21,000169,24.479171752929688,0.8518020510673523,0.2123965471982956
22,000177,25.718528747558594,0.856930673122406,0.22134485840797424
23,000185,25.695646286010742,0.8523128032684326,0.2475387156009674
24,000193,26.213119506835938,0.8645053505897522,0.26235896348953247
25,000201,25.470964431762695,0.8754642605781555,0.19209200143814087
26,000209,23.946693420410156,0.8541642427444458,0.19632625579833984
27,000217,21.180322647094727,0.7867000102996826,0.25725430250167847
28,000225,23.297517776489258,0.8423218131065369,0.2022409439086914
29,000233,22.97113037109375,0.8279637694358826,0.2344999611377716
30,000241,24.72360610961914,0.8692437410354614,0.20340868830680847
31,000249,23.895030975341797,0.8588101863861084,0.2264905571937561
